"type","location_code","identity","name"
"WARD","01246",2012033,"Xã Bằng Lang"
"WARD","01249",2012035,"Xã Yên Hà"
"WARD","01252",2012039,"Xã Hương Sơn"
"WARD","01255",2012037,"Xã Xuân Giang"
"WARD","01258",2012043,"Xã Nà Khương"
"WARD","01261",2012041,"Xã Tiên Yên"
"WARD","01264",2012045,"Xã Vĩ Thượng"
"WARD","01267",2030105,"Phường Sông Hiến"
"WARD","01270",2030107,"Phường Sông Bằng"
"WARD","01273",2030101,"Phường Hợp Giang"
"WARD","01276",2030103,"Phường Tân Giang"
"WARD","01279",2030109,"Phường Ngọc Xuân"
"WARD","01282",2030115,"Phường Đề Thám"
"WARD","01285",2030111,"Phường Hòa Chung"
"WARD","01288",2030113,"Phường Duyệt Trung"
"WARD","01290",2030428,"Thị trấn Pác Miầu"
"WARD","01291",2030403,"Xã Đức Hạnh"
"WARD","01294",2030405,"Xã Lý Bôn"
"WARD","01296",2030425,"Xã Nam Cao"
"WARD","01297",2030411,"Xã Nam Quang"
"WARD","01300",2030407,"Xã Vĩnh Quang"
"WARD","01303",2030415,"Xã Quảng Lâm"
"WARD","01304",2030423,"Xã Thạch Lâm"
"WARD","01306",2030413,"Xã Tân Việt"
"WARD","01309",2030409,"Xã Vĩnh Phong"
"WARD","01312",2030401,"Xã Mông Ân"
"WARD","01315",2030417,"Xã Thái Học"
"WARD","01316",2030427,"Xã Thái Sơn"
"WARD","01318",2030419,"Xã Yên Thổ"
"WARD","01321",2030301,"Thị trấn Bảo Lạc"
"WARD","01324",2030305,"Xã Cốc Pàng"
"WARD","01327",2030307,"Xã Thượng Hà"
"WARD","01330",2030309,"Xã Cô Ba"
"WARD","01333",2030317,"Xã Bảo Toàn"
"WARD","01336",2030311,"Xã Khánh Xuân"
"WARD","01339",2030313,"Xã Xuân Trường"
"WARD","01342",2030321,"Xã Hồng Trị"
"WARD","01343",2030351,"Xã Kim Cúc"
"WARD","01345",2030323,"Xã Phan Thanh"
"WARD","01348",2030325,"Xã Hồng An"
"WARD","01351",2030337,"Xã Hưng Đạo"
"WARD","01352",2030347,"Xã Hưng Thịnh"
"WARD","01354",2030339,"Xã Huy Giáp"
"WARD","01357",2030345,"Xã Đình Phùng"
"WARD","01359",2030349,"Xã Sơn Lập"
"WARD","01360",2030343,"Xã Sơn Lộ"
"WARD","01392",2030537,"Thị trấn Xuân Hòa"
"WARD","01393",2030507,"Xã Lũng Nặm"
"WARD","01396",2030505,"Xã Kéo Yên"
"WARD","01399",2030503,"Xã Trường Hà"
"WARD","01402",2030509,"Xã Vân An"
"WARD","01405",2030511,"Xã Cải Viên"
"WARD","01408",2030513,"Xã Nà Sác"
"WARD","01411",2030515,"Xã Nội Thôn"
"WARD","01414",2030521,"Xã Tổng Cọt"
"WARD","01417",2030517,"Xã Sóc Hà"
"WARD","01420",2030519,"Xã Thượng Thôn"
"WARD","01423",2030501,"Xã Vần Dính"
"WARD","01426",2030525,"Xã Hồng Sĩ"
"WARD","01429",2030527,"Xã Sĩ Hai"
"WARD","01432",2030523,"Xã Quý Quân"
"WARD","01435",2030533,"Xã Mã Ba"
"WARD","01438",2030551,"Xã Ngọc Đào"
"WARD","01441",2030551,"Xã Ngọc Đào"
"WARD","01444",2030535,"Xã Hạ Thôn"
"WARD","01450",2030903,"Xã Cô Mười"
"WARD","01462",2030915,"Xã Xuân Nội"
"WARD","01465",2030911,"Xã Quang Trung"
"WARD","01468",2030913,"Xã Lưu Ngọc"
"WARD","01474",2030919,"Xã Quốc Toản"
"WARD","01477",2031101,"Thị trấn Trùng Khánh"
"WARD","01480",2031109,"Xã Ngọc Khê"
"WARD","01481",2031139,"Xã Ngọc Côn"
"WARD","01483",2031107,"Xã Phong Nậm"
"WARD","01486",2031105,"Xã Ngọc Chung"
"WARD","01489",2031111,"Xã Đình Phong"
"WARD","01492",2031103,"Xã Lăng Yên"
"WARD","01495",2031115,"Xã Đàm Thuỷ"
"WARD","01498",2031119,"Xã Khâm Thành"
"WARD","01501",2031113,"Xã Chí Viễn"
"WARD","01504",2031117,"Xã Lăng Hiếu"
"WARD","01507",2031123,"Xã Phong Châu"
"WARD","01510",2031121,"Xã Đình Minh"
"WARD","01516",2031127,"Xã Trung Phúc"
"WARD","01519",2031131,"Xã Cao Thăng"
"WARD","01522",2031129,"Xã Đức Hồng"
"WARD","01525",2031133,"Xã Thông Hoè"
"WARD","01528",2031137,"Xã Thân Giáp"
"WARD","01531",2031135,"Xã Đoài Côn"
"WARD","01534",2031903,"Xã Minh Long"
"WARD","01537",2031907,"Xã Lý Quốc"
"WARD","01540",2031905,"Xã Thắng Lợi"
"WARD","01543",2031909,"Xã Đồng Loan"
"WARD","01546",2031911,"Xã Đức Quang"
"WARD","01549",2031913,"Xã Kim Loan"
"WARD","01552",2031917,"Xã Quang Long"
"WARD","01555",2031915,"Xã An Lạc"
"WARD","01558",2031901,"Thị trấn Thanh Nhật"
"WARD","01561",2031919,"Xã Vinh Quý"
"WARD","01567",2031925,"Xã Cô Ngân"
"WARD","01573",2031927,"Xã Thị Hoa"
"WARD","01576",2032011,"Thị trấn Quảng Uyên"
"WARD","01579",2032012,"Xã Phi Hải"
"WARD","01582",2032013,"Xã Quảng Hưng"
"WARD","01585",2032014,"Xã Bình Lăng"
"WARD","01588",2032017,"Xã Quốc Dân"
"WARD","01591",2032016,"Xã Quốc Phong"
"WARD","01594",2032015,"Xã Độc Lập"
"WARD","01597",2032021,"Xã Cai Bộ"
"DISTRICT","016",10115,"Huyện Sóc Sơn"
"WARD","01600",2032018,"Xã Đoài Khôn"
"WARD","01603",2032019,"Xã Phúc Sen"
