code,zipcode,destcode
INDOJB_JB01_JB0103,45285,CBN20102
INDOJB_JB01_JB0104,45272,CBN20103
INDOJB_JB01_JB0105,45255,CBN20104
INDOJB_JB01_JB0106,45258,CBN20122
INDOJB_JB01_JB0107,45262,CBN20105
INDOJB_JB01_JB0108,45263,CBN20106
INDOJB_JB01_JB0109,45264,CBN20123
INDOJB_JB01_JB0110,45264,CBN20107
INDOJB_JB01_JB0111,45215,CBN20100
INDOJB_JB01_JB0112,45273,CBN20108
INDOJB_JB01_JB0113,45282,CBN20109
INDOJB_JB01_JB0114,45254,CBN20110
INDOJB_JB01_JB0115,45283,CBN20111
INDOJB_JB01_JB0116,45283,CBN20124
INDOJB_JB01_JB0117,45274,CBN20112
INDOJB_JB01_JB0118,45284,CBN20113
INDOJB_JB01_JB0119,45265,CBN20114
INDOJB_JB01_JB0120,45261,CBN20115
INDOJB_JB01_JB0121,45252,CBN20116
INDOJB_JB01_JB0122,45253,CBN20117
INDOJB_JB01_JB0123,45227,CBN20128
INDOJB_JB01_JB0124,45257,CBN20129
INDOJB_JB01_JB0125,45227,CBN20125
INDOJB_JB01_JB0126,45281,CBN20118
INDOJB_JB01_JB0127,45274,CBN20126
INDOJB_JB01_JB0128,45257,CBN20119
INDOJB_JB01_JB0129,45262,CBN20127
INDOJB_JB01_JB0130,45272,CBN20130
INDOJB_JB01_JB0131,45271,CBN20120
INDOJB_JB11_JB11,45151,CBN20407
INDOJB_JB11_JB1101,45162,CBN20402
INDOJB_JB11_JB1102,45181,CBN20403
INDOJB_JB11_JB1103,45191,CBN20404
INDOJB_JB11_JB1104,45172,CBN20405
INDOJB_JB11_JB1105,45167,CBN20409
INDOJB_JB11_JB1106,45652,CBN20411
INDOJB_JB11_JB1107,45191,CBN20412
INDOJB_JB11_JB1108,45164,CBN20413
INDOJB_JB11_JB1109,45161,CBN20414
INDOJB_JB11_JB1110,45172,CBN20439
INDOJB_JB11_JB1111,45151,CBN20407
INDOJB_JB11_JB1112,45145,CBN10034
INDOJB_JB11_JB1113,45156,CBN20440
INDOJB_JB11_JB1114,45165,CBN20415
INDOJB_JB11_JB1115,45152,CBN20416
INDOJB_JB11_JB1116,45186,CBN20417
INDOJB_JB11_JB1117,45186,CBN20418
INDOJB_JB11_JB1118,45153,CBN20419
INDOJB_JB11_JB1119,45121,CBN10035
INDOJB_JB11_JB1120,45134,CBN10036
INDOJB_JB11_JB1121,45156,CBN20420
INDOJB_JB11_JB1122,45183,CBN20421
INDOJB_JB11_JB1123,45114,CBN10037
INDOJB_JB11_JB1124,45192,CBN20422
INDOJB_JB11_JB1125,45173,CBN20423
INDOJB_JB11_JB1126,45193,CBN20424
INDOJB_JB11_JB1127,45161,CBN20428
INDOJB_JB11_JB1128,45182,CBN20430
INDOJB_JB11_JB1129,45163,CBN20432
INDOJB_JB11_JB1130,45187,CBN20433
INDOJB_JB11_JB1131,45115,CBN10038
INDOJB_JB11_JB1132,45155,CBN20435
INDOJB_JB11_JB1133,45189,CBN20438
INDOJB_JB11_JB1134,45612,CBN20400
INDOJB_JB11_JB1135,45152,CBN20441
INDOJB_JB11_JB1136,45185,CBN20427
INDOJB_JB11_JB1137,45185,CBN20427
INDOJB_JB11_JB1138,45171,CBN20408
INDOJB_JB11_JB1139,45153,CBN20436
INDOJB_JB11_JB1140,45187,CBN20429
INDOJB_JB11_JB1141,45154,CBN20431
INDOJB_JB11_JB1142,45188,CBN20406
INDOJB_JB11_JB1143,45155,CBN20410
INDOJB_JB11_JB1144,45188,CBN20426
INDOJB_JB11_JB1145,45154,CBN20434
INDOJB_JB14_JB14,45514,CBN20200
INDOJB_JB14_JB1401,45591,CBN20202
INDOJB_JB14_JB1402,45587,CBN20203
INDOJB_JB14_JB1403,45556,CBN20237
INDOJB_JB14_JB1404,45552,CBN20206
INDOJB_JB14_JB1405,45585,CBN20209
INDOJB_JB14_JB1406,45556,CBN20208
INDOJB_JB14_JB1407,45582,CBN20210
INDOJB_JB14_JB1408,45565,CBN20211
INDOJB_JB14_JB1409,45592,CBN20212
INDOJB_JB14_JB1410,45583,CBN20238
INDOJB_JB14_JB1411,45562,CBN20213
INDOJB_JB14_JB1412,45571,CBN20214
INDOJB_JB14_JB1413,45564,CBN20215
INDOJB_JB14_JB1414,45554,CBN20216
INDOJB_JB14_JB1415,45555,CBN20217
INDOJB_JB14_JB1416,45561,CBN20218
INDOJB_JB14_JB1417,45594,CBN20219
INDOJB_JB14_JB1418,45584,CBN20220
INDOJB_JB14_JB1419,45553,CBN20221
INDOJB_JB14_JB1420,45514,CBN20200
INDOJB_JB14_JB1421,45574,CBN20222
INDOJB_JB14_JB1422,45581,CBN20224
INDOJB_JB14_JB1423,45575,CBN20225
INDOJB_JB14_JB1424,45558,CBN20226
INDOJB_JB14_JB1425,45563,CBN20228
INDOJB_JB14_JB1426,45557,CBN20230
INDOJB_JB14_JB1427,45559,CBN20231
INDOJB_JB14_JB1428,45566,CBN20232
INDOJB_JB14_JB1429,45573,CBN20233
INDOJB_JB14_JB1430,45586,CBN20234
INDOJB_JB14_JB1431,45588,CBN20204
